Government_Regulations.tax_rate_on_newly_installed_wind_energy_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
Government_Regulations.tax_rate_on_newly_installed_gas_energy_production_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_gas_energy_production_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_oil_energy_production_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_oil_energy_production_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.time_for_government_to_change_the_debt_to_GDP_ratio_target,10,,,,,,,,,,,,,
Government_Regulations.time_to_implement_profit_tax_policy,5,,,,,,,,,,,,,
Government_Regulations.time_to_implement_wage_tax_policy,5,,,,,,,,,,,,,
Government_Regulations.time_to_implement_wealth_tax_policy,5,,,,,,,,,,,,,
Government_Regulations.time_to_start_central_bank_inflation_policy,2025,,,,,,,,,,,,,
Government_Regulations.time_to_start_central_bank_unemployment_policy,2025,,,,,,,,,,,,,
Government_Regulations.unemployment_goal_policy,0.05,,,,,,,,,,,,,
Government_Regulations.wage_tax_policy,0.218,,,,,,,,,,,,,
Government_Regulations.wage_tax_policy_start_year,2025,,,,,,,,,,,,,
Government_Regulations.wealth_tax_policy,0,,,,,,,,,,,,,
Government_Regulations.wealth_tax_policy_start_year,2025,,,,,,,,,,,,,
